"Enable multi-byte (Chinese, Japanese, and Korean) search for query names and descriptions (slower)","Увімкнути багатобайтовий (китайська, японська та корейська) пошук назв та описів запитів (повільніше) ",
Feature Flags,Додаткові опції,
General,Загальні,
Help Redash improve by automatically sending anonymous usage data,"Допоможіть покращити Redash, автоматично надсилаючи анонімні дані про використання ",
Password Login Enabled,Вхід за допомогою пароля увімкнено,
SAML,Підтримка SAML,
SAML Enabled,Підтримку SAML увімкнено,
SAML Entity ID,Ідентифікатор об'єкта SAML,
SAML Metadata URL,URL-адреса метаданих SAML,
SAML NameID Format,Формат SAML NameID,
Time Format,Формат часу,
a month ago,місяць тому,
Active Users,Активні користувачі,
Alert Destinations,Канали cповіщень,
days ago,днів тому,
Disable,Деактивувати,
Disabled Users,Деактивовані користувачі,
Joined,Приєднаний,
Last Active At,Остання активність,
months ago,місяці(в) тому,
New User,Новий користувач,
Pending Invitations,"Запрошення, що очікують розгляду",
Registry Auditors,Registry Auditors,
Registry Officers,Registry Officers,
API Key,Ключ API,
Disable User,Деактивувати користувача,
Email,Електронна пошта,
It looks like your mail server isn't configured. Make sure to configure it for the invite emails to work.,"Схоже, ваш поштовий сервер не налаштований. Переконайтеся, що ви налаштували його для надсилання листів-запрошень.",
Regenerate,Згенерувати повторно,
Send Password Reset Email,Надіслати електронний лист для скидання пароля,
"Sorry, we couldn't find anything.","На жаль, ми не знайшли жодного запису.",
Change Password,Змінити пароль,
It looks like your mail server isn't configured. Make sure to configure it for the invite emails to work.,"Схоже, ваш поштовий сервер не налаштований. Переконайтеся, що ви налаштували його для надсилання листів-запрошень.",
Disabled Users,Деативовані користувачі,
"Sorry, we couldn't find anything.","На жаль, ми не знайшли жодного запису.",
a minute ago,хвилину тому,
%d minutes ago,хвилин(и) тому,
%d hours ago,годин(и) тому,
a day ago,день тому,
%d days ago,дні(в) тому,
%d months ago,місяці(в) тому,
a year ago,рік тому,
%d years ago,роки(ів) тому,
"WEEKS: ""week""","WEEKS: ""тиждень""",
It seems like the page you're looking for cannot be found.,"Схоже, що сторінку, яку ви шукаєте, неможливо знайти.",
It seems like you don’t have permission to see this page.,"Схоже, у вас немає дозволу на перегляд цієї сторінки.",
Super expression must either be null or a function,Супервираз має бути 'null' або функцією,
Today,Сьогодні,
Yesterday,Учора,
This week,Поточний тиждень,
This month,Поточний місяць,
This year,Поточний рік,
Last week,Минулий тиждень,
Last month,Минулий місяць,
Last year,Минулий рік,
Last 7 days,Останні 7 днів,
Last 14 days,Останні 14 днів,
Last 30 days,Останні 30 днів,
Last 60 days,Останні 60 днів,
Last 90 days,Останні 90 днів,
Last 12 months,Останні 12 місяців,
Back to Static Value,До сталого діапазону,
January,Січ.,
February,Лют.,
March,Бер.,
April,Кві.,
May,Тра.,
June,Чер.,
July,Лип.,
August,Cерп.,
September,Вер.,
October,Жов.,
November,Лис.,
December,Гру.,
Create Alert,Створити сповіщення,
Get notified on certain events,Отримуйте сповіщення про окремі події,
Let's get started,Початок роботи,
Connect a Data Source,Підключити джерело даних,
Create your first Query,Створити перший запит,
Create your first Alert,Створити перше сповіщення,
Need more support?,Потрібна додаткова підтримка?,
See our Help,Скористуйтесь нашим посібником,
New Dashboard,Нова інформаційна панель,
Dashboard name,Назва інформаційної панелі,
Help,Допомога,
My Dashboards,Мої інформаційні панелі,
Search Dashboards,Пошук інформаційних панелей,
Search Queries,Пошук запитів,
Search schema,Пошук схеми,
Welcome to Redash,Вітаємо в Redash,
"Connect to any data source, easily visualize and share your data","Підключайте будь які джерела даних, легко візуалізуйте та розповсюджуйте дані",
Create your first Dashboard,Створити першу інформаційну панель,
Invite your team members,Запросіть членів своєї команди,
Favorite,Улюблені,
